"Country","emision"
"Afghanistan","9067000"
"Albania","4500000"
"Algeria","135900000"
"American Samoa","361100"
"Angola","20950000"
"Antigua and Barbuda","740300"
"Argentina","203700000"
"Armenia","5501000"
"Aruba","1266000"
"Australia","439100000"
"Austria","63930000"
"Azerbaijan","35600000"
"Bahamas, The","3089000"
"Bahrain","37980000"
"Bangladesh","79970000"
"Barbados","1760000"
"Belarus","56070000"
"Belgium","134700000"
"Belize","556700"
"Benin","5664000"
"Bermuda","793700"
"Bhutan","604900"
"Bolivia","17660000"
"Bosnia and Herzegovina","22070000"
"Botswana","6235000"
"Brazil","513800000"
"British Virgin Islands","183300"
"Brunei","10040000"
"Bulgaria","46310000"
"Burkina Faso","3421000"
"Burma","27010000"
"Burundi","217000"
"Cabo Verde","867800"
"Cambodia","10550000"
"Cameroon","7672000"
"Canada","640600000"
"Cayman Islands","643800"
"Central African Republic","413800"
"Chad","342200"
"Chile","88230000"
"China","1.167e+10"
"Colombia","95590000"
"Comoros","193600"
"Congo, Democratic Republic of the","3146000"
"Congo, Republic of the","5239000"
"Cook Islands","88810"
"Costa Rica","7653000"
"Cote d'Ivoire","11540000"
"Croatia","17960000"
"Cuba","26940000"
"Cyprus","7720000"
"Czechia","115800000"
"Denmark","37450000"
"Djibouti","950200"
"Dominica","199600"
"Dominican Republic","23790000"
"Ecuador","37540000"
"Egypt","232700000"
"El Salvador","7331000"
"Equatorial Guinea","3062000"
"Eritrea","597100"
"Estonia","5306000"
"Eswatini","1140000"
"Ethiopia","12180000"
"European Union","3.475e+09"
"Falkland Islands (Islas Malvinas)","44070"
"Faroe Islands","739300"
"Fiji","2369000"
"Finland","46010000"
"France","341200000"
"French Polynesia","1030000"
"Gabon","4293000"
"Gambia, The","607300"
"Georgia","9912000"
"Germany","847600000"
"Ghana","13670000"
"Gibraltar","13340000"
"Greece","69370000"
"Greenland","613800"
"Grenada","283600"
"Guam","2214000"
"Guatemala","17150000"
"Guinea","2794000"
"Guinea-Bissau","397900"
"Guyana","2131000"
"Haiti","3595000"
"Honduras","9436000"
"Hong Kong","102500000"
"Hungary","51280000"
"Iceland","3228000"
"India","2.383e+09"
"Indonesia","540700000"
"Iran","638300000"
"Iraq","117900000"
"Ireland","36910000"
"Israel","73820000"
"Italy","3.51e+08"
"Jamaica","8900000"
"Japan","1.268e+09"
"Jersey","450000"
"Jordan","27390000"
"Kazakhstan","304600000"
"Kenya","17980000"
"Kiribati","58850"
"Korea, North","27830000"
"Korea, South","778400000"
"Kosovo","10050000"
"Kuwait","106500000"
"Kyrgyzstan","10020000"
"Laos","10420000"
"Latvia","8632000"
"Lebanon","23360000"
"Lesotho","711100"
"Liberia","1163000"
"Libya","46480000"
"Lithuania","13490000"
"Luxembourg","10720000"
"Macau","2563000"
"Madagascar","4021000"
"Malawi","1082000"
"Malaysia","226800000"
"Maldives","1648000"
"Mali","3388000"
"Malta","8141000"
"Marshall Islands","293700"
"Mauritania","2615000"
"Mauritius","6429000"
"Mexico","454100000"
"Micronesia, Federated States of","105"
"Moldova","7653000"
"Mongolia","19860000"
"Montenegro","2287000"
"Montserrat","57180"
"Morocco","55400000"
"Mozambique","11120000"
"Namibia","3958000"
"Nauru","76540"
"Nepal","8396000"
"Netherlands","250200000"
"New Caledonia","6165000"
"New Zealand","37750000"
"Nicaragua","5405000"
"Niger","2534000"
"Nigeria","1.04e+08"
"Niue","7252"
"North Macedonia","7459000"
"Norway","39800000"
"Oman","68940000"
"Pakistan","179500000"
"Panama","26080000"
"Papua New Guinea","6082000"
"Paraguay","7740000"
"Peru","55940000"
"Philippines","117200000"
"Poland","3.59e+08"
"Portugal","54970000"
"Puerto Rico","19850000"
"Qatar","114200000"
"Romania","72070000"
"Russia","1.847e+09"
"Rwanda","985600"
"Saint Helena, Ascension, and Tristan da Cunha","10650"
"Saint Kitts and Nevis","248100"
"Saint Lucia","437900"
"Saint Pierre and Miquelon","100200"
"Saint Vincent and the Grenadines","226800"
"Samoa","341100"
"Sao Tome and Principe","148100"
"Saudi Arabia","657100000"
"Senegal","8644000"
"Serbia","50210000"
"Seychelles","1150000"
"Sierra Leone","984800"
"Singapore","249500000"
"Slovakia","34860000"
"Slovenia","14370000"
"Solomon Islands","233500"
"Somalia","852500"
"South Africa","572300000"
"South Sudan","1224000"
"Spain","286700000"
"Sri Lanka","25190000"
"Sudan","16030000"
"Suriname","2075000"
"Sweden","52310000"
"Switzerland","38950000"
"Syria","27510000"
"Taiwan","348800000"
"Tajikistan","6329000"
"Tanzania","14570000"
"Thailand","3.55e+08"
"Timor-Leste","533400"
"Togo","2651000"
"Tonga","139700"
"Trinidad and Tobago","48920000"
"Tunisia","23420000"
"Turkey","379500000"
"Turkmenistan","100500000"
"Turks and Caicos Islands","221800"
"Uganda","4703000"
"Ukraine","238900000"
"United Arab Emirates","289400000"
"United Kingdom","4.24e+08"
"United States","5.242e+09"
"Uruguay","7554000"
"Uzbekistan","95580000"
"Vanuatu","164800"
"Venezuela","129900000"
"Vietnam","235300000"
"Virgin Islands","2764000"
"West Bank","3113000"
"Western Sahara","268400"
"World","3.362e+10"
"Yemen","13680000"
"Zambia","3777000"
"Zimbabwe","12060000"
