"Country","Score","Electoral","Functio­ning","Politicalpartici­pation","Politicalculture","Civilliberties","Regimetype","Region"
"Norway","9.87","10.00","9.64","10.00","10.00","9.71","Full democracy","Western Europe"
"Iceland","9.58","10.00","9.29","8.89","10.00","9.71","Full democracy","Western Europe"
"Sweden","9.39","9.58","9.64","8.33","10.00","9.41","Full democracy","Western Europe"
"New Zealand","9.26","10.00","9.29","8.89","8.13","10.00","Full democracy","Asia & Oceania"
"Finland","9.25","10.00","8.93","8.89","8.75","9.71","Full democracy","Western Europe"
"Ireland","9.24","10.00","7.86","8.33","10.00","10.00","Full democracy","Western Europe"
"Denmark","9.22","10.00","9.29","8.33","9.38","9.12","Full democracy","Western Europe"
"Canada","9.22","9.58","9.64","7.78","9.38","9.71","Full democracy","North America"
"Australia","9.09","10.00","8.93","7.78","8.75","10.00","Full democracy","Asia & Oceania"
"Switzerland","9.03","9.58","9.29","7.78","9.38","9.12","Full democracy","Western Europe"
"Netherlands","9.01","9.58","9.29","8.33","8.75","9.12","Full democracy","Western Europe"
"Luxembourg","8.81","10.00","8.93","6.67","8.75","9.71","Full democracy","Western Europe"
"Germany","8.68","9.58","8.57","8.33","7.50","9.41","Full democracy","Western Europe"
"United Kingdom","8.52","9.58","7.50","8.89","7.50","9.12","Full democracy","Western Europe"
"Uruguay","8.38","10.00","8.57","6.11","7.50","9.71","Full democracy","Latin America"
"Austria","8.29","9.58","7.86","8.33","6.88","8.82","Full democracy","Western Europe"
"Spain","8.29","9.58","7.14","7.78","8.13","8.82","Full democracy","Western Europe"
"Mauritius","8.22","9.17","8.21","5.56","8.75","9.41","Full democracy","Sub-Saharan Africa"
"Costa Rica","8.13","9.58","7.50","6.67","7.50","9.41","Full democracy","Latin America"
"France","8.12","9.58","7.86","7.78","6.88","8.53","Full democracy","Western Europe"
"Chile","8.08","9.58","8.57","5.00","8.13","9.12","Full democracy","Latin America"
"Portugal","8.03","9.58","7.86","6.11","7.50","9.12","Full democracy","Western Europe"
"South Korea","8.00","9.17","7.86","7.22","7.50","8.24","Flawed democracy","Asia & Oceania"
"Japan","7.99","8.75","8.21","6.67","7.50","8.82","Flawed democracy","Asia & Oceania"
"United States","7.96","9.17","7.14","7.78","7.50","8.24","Flawed democracy","North America"
"Malta","7.95","9.17","7.50","6.11","8.13","8.82","Flawed democracy","Western Europe"
"Estonia","7.90","9.58","7.86","6.67","6.88","8.53","Flawed democracy","Eastern Europe"
"Israel","7.86","9.17","7.86","8.89","7.50","5.88","Flawed democracy","Middle East & North Africa"
"Botswana","7.81","9.17","7.14","6.11","7.50","9.12","Flawed democracy","Sub-Saharan Africa"
"Cape Verde","7.78","9.17","7.36","6.67","6.88","8.82","Flawed democracy","Sub-Saharan Africa"
"Taiwan","7.73","9.58","8.21","6.11","5.63","9.12","Flawed democracy","Asia & Oceania"
"Czech Republic","7.69","9.58","6.79","6.67","6.88","8.53","Flawed democracy","Eastern Europe"
"Belgium","7.64","9.58","8.21","5.00","6.88","8.53","Flawed democracy","Western Europe"
"Cyprus","7.59","9.17","6.43","6.67","6.88","8.82","Flawed democracy","Western Europe"
"Italy","7.52","9.58","6.07","7.78","6.25","7.94","Flawed democracy","Western Europe"
"Slovenia","7.50","9.58","6.79","6.67","6.25","8.24","Flawed democracy","Eastern Europe"
"Lithuania","7.50","9.58","6.43","6.11","6.25","9.12","Flawed democracy","Eastern Europe"
"Latvia","7.49","9.58","6.07","6.11","6.88","8.82","Flawed democracy","Eastern Europe"
"Greece","7.43","9.58","4.86","6.67","7.50","8.53","Flawed democracy","Western Europe"
"South Africa","7.24","7.42","7.50","8.33","5.00","7.94","Flawed democracy","Sub-Saharan Africa"
"Timor-Leste","7.19","9.58","6.29","5.56","6.88","7.65","Flawed democracy","Asia & Oceania"
"Slovakia","7.17","9.58","7.14","5.56","5.63","7.94","Flawed democracy","Eastern Europe"
"Malaysia","7.16","9.17","7.86","6.67","6.25","5.88","Flawed democracy","Asia & Oceania"
"Trinidad and Tobago","7.16","9.58","7.14","6.11","5.63","7.35","Flawed democracy","Latin America"
"Colombia","7.13","9.17","6.79","5.56","5.63","8.53","Flawed democracy","Latin America"
"Panama","7.05","9.58","6.07","6.67","5.00","7.94","Flawed democracy","Latin America"
"Bulgaria","7.03","9.17","6.43","7.22","4.38","7.94","Flawed democracy","Eastern Europe"
"Argentina","7.02","9.17","5.36","6.11","6.25","8.24","Flawed democracy","Latin America"
"Suriname","6.98","9.17","6.43","6.67","5.00","7.65","Flawed democracy","Latin America"
"Jamaica","6.96","8.75","7.14","4.44","6.25","8.24","Flawed democracy","Latin America"
"India","6.90","8.67","6.79","6.67","5.63","6.76","Flawed democracy","Asia & Oceania"
"Brazil","6.86","9.58","5.36","6.11","5.00","8.24","Flawed democracy","Latin America"
"Tunisia","6.72","9.17","5.71","7.22","5.63","5.88","Flawed democracy","Middle East & North Africa"
"Philippines","6.64","9.17","5.36","7.22","4.38","7.06","Flawed democracy","Asia & Oceania"
"Ghana","6.63","8.33","5.71","6.67","6.25","6.18","Flawed democracy","Sub-Saharan Africa"
"Hungary","6.63","8.75","6.07","5.00","6.25","7.06","Flawed democracy","Eastern Europe"
"Poland","6.62","9.17","6.07","6.11","4.38","7.35","Flawed democracy","Eastern Europe"
"Peru","6.60","9.17","5.00","5.56","5.63","7.65","Flawed democracy","Latin America"
"Croatia","6.57","9.17","6.07","5.56","5.00","7.06","Flawed democracy","Eastern Europe"
"Dominican Republic","6.54","9.17","5.36","6.11","5.00","7.06","Flawed democracy","Latin America"
"Lesotho","6.54","9.17","4.50","6.67","5.63","6.76","Flawed democracy","Sub-Saharan Africa"
"Mongolia","6.50","9.17","5.71","5.56","5.00","7.06","Flawed democracy","Asia & Oceania"
"Romania","6.49","9.17","5.71","5.56","4.38","7.65","Flawed democracy","Eastern Europe"
"Indonesia","6.48","7.92","7.14","6.11","5.63","5.59","Flawed democracy","Asia & Oceania"
"Namibia","6.43","6.58","5.36","6.67","5.63","7.94","Flawed democracy","Sub-Saharan Africa"
"Serbia","6.41","8.25","5.36","6.11","5.00","7.35","Flawed democracy","Eastern Europe"
"Ecuador","6.33","8.75","5.36","6.11","4.38","7.06","Flawed democracy","Latin America"
"Thailand","6.32","7.42","5.36","6.11","6.25","6.47","Flawed democracy","Asia & Oceania"
"Sri Lanka","6.27","7.00","6.07","5.56","6.25","6.47","Flawed democracy","Asia & Oceania"
"Paraguay","6.24","8.75","5.71","5.00","4.38","7.35","Flawed democracy","Latin America"
"El Salvador","6.15","9.17","4.64","6.11","3.75","7.06","Flawed democracy","Latin America"
"Guyana","6.15","6.92","5.36","6.11","5.00","7.35","Flawed democracy","Latin America"
"Mexico","6.09","7.83","6.07","7.22","3.13","6.18","Flawed democracy","Latin America"
"Papua New Guinea","6.03","6.92","6.07","3.89","5.63","7.65","Flawed democracy","Asia & Oceania"
"Hong Kong","6.02","3.58","4.36","6.11","7.50","8.53","Flawed democracy","Asia & Oceania"
"Singapore","6.02","3.92","7.86","5.00","6.25","7.06","Flawed democracy","Asia & Oceania"
"North Macedonia","5.97","7.00","5.36","6.67","3.75","7.06","Hybrid regime","Eastern Europe"
"Ukraine","5.90","7.42","2.71","6.67","6.25","6.47","Hybrid regime","Eastern Europe"
"Albania","5.89","7.00","5.36","4.44","5.00","7.65","Hybrid regime","Eastern Europe"
"Bangladesh","5.88","7.83","6.07","6.11","4.38","5.00","Hybrid regime","Asia & Oceania"
"Fiji","5.85","6.58","5.36","6.11","5.63","5.59","Hybrid regime","Asia & Oceania"
"Senegal","5.81","6.08","6.07","4.44","6.25","6.18","Hybrid regime","Sub-Saharan Africa"
"Moldova","5.75","6.58","4.64","6.11","4.38","7.06","Hybrid regime","Eastern Europe"
"Montenegro","5.65","5.67","5.36","6.11","4.38","6.76","Hybrid regime","Eastern Europe"
